run_id,seed,method,pa,tids,mttf,accuracy,energy,cmvi,nfg,nbr,nam,false_good_evictions,bad_nodes_retained,audit_mismatch_events,audit_count,audit_update_count,collective_update_count
50,92,TA-QTCID,1.0,200,12200.0,0.9916083916083916,1688.9003011733294,19.0,18,0,1,18,0,1,1,1,2144
51,93,TA-QTCID,1.0,200,11600.0,0.988737403675163,1493.889462461695,19.0,19,0,0,19,0,0,0,0,1687
52,94,TA-QTCID,1.0,200,11400.0,0.9944842801985659,1503.4253480341285,10.0,10,0,0,10,0,0,0,0,1813
53,95,TA-QTCID,1.0,200,12400.0,0.9926362297496318,1676.2781123574823,16.0,15,0,1,15,0,1,1,1,2036
54,96,TA-QTCID,1.0,200,11400.0,0.9920300046882325,1605.906442137435,18.0,17,0,1,17,0,1,1,1,2132
55,97,TA-QTCID,1.0,200,14600.0,0.9946524064171123,1876.8086856920272,11.0,10,1,0,10,1,0,0,0,2057
56,98,TA-QTCID,1.0,200,10600.0,0.9915134370579916,1513.0205856226385,18.0,17,1,0,17,1,0,0,0,2121
57,99,TA-QTCID,1.0,200,8600.0,0.9876252209781968,1226.706609979272,21.0,21,0,0,21,0,0,0,0,1697
58,100,TA-QTCID,1.0,200,16200.0,0.9953527672158851,2104.6609561089426,12.0,11,0,1,11,0,1,1,1,2366
59,101,TA-QTCID,1.0,200,11000.0,0.9911357340720222,1467.4580451361835,16.0,16,0,0,16,0,0,0,0,1805
60,102,TA-QTCID,1.0,200,11800.0,0.9949587534372135,1659.1056047026068,12.0,10,1,1,10,1,1,1,1,2181
61,103,TA-QTCID,1.0,200,10000.0,0.9935897435897436,1426.9206393752247,13.0,13,0,0,13,0,0,0,0,2028
62,104,TA-QTCID,1.0,200,14000.0,0.9941520467836257,1853.4635715875775,13.0,13,0,0,13,0,0,0,0,2223
63,105,TA-QTCID,1.0,200,11200.0,0.9947414548641542,1629.0735002886504,13.0,12,0,1,12,0,1,1,1,2281
64,106,TA-QTCID,1.0,200,9000.0,0.9916054564533053,1306.1393498983234,16.0,16,0,0,16,0,0,0,0,1906
65,107,TA-QTCID,1.0,200,11000.0,0.9951089373054691,1578.8221529945731,11.0,11,0,0,11,0,0,0,0,2249
66,108,TA-QTCID,1.0,200,10600.0,0.9934243803743045,1472.1270679552108,13.0,13,0,0,13,0,0,0,0,1977
67,109,TA-QTCID,1.0,200,10000.0,0.9959964412811388,1483.2456731442362,9.0,9,0,0,9,0,0,0,0,2248
68,110,TA-QTCID,1.0,200,10000.0,0.9942252165543792,1439.7802361305803,12.0,12,0,0,12,0,0,0,0,2078
69,111,TA-QTCID,1.0,200,14000.0,0.9896319336443753,1808.3164949957281,21.0,20,0,1,20,0,1,1,1,1928
70,112,TA-QTCID,1.0,200,12400.0,0.9911463187325257,1673.84468097426,19.0,19,0,0,19,0,0,0,0,2146
71,113,TA-QTCID,1.0,200,14800.0,0.993607305936073,1938.6336700636894,15.0,13,1,1,13,1,1,1,1,2189
72,114,TA-QTCID,1.0,200,12600.0,0.9958385351643778,1753.811588762328,10.0,10,0,0,10,0,0,0,0,2403
73,115,TA-QTCID,1.0,200,8600.0,0.9905793688177108,1327.0114646293223,20.0,20,0,0,20,0,0,0,0,2123
74,116,TA-QTCID,1.0,200,13400.0,0.9961587708066582,1813.1437897663563,9.0,9,0,0,9,0,0,0,0,2343
75,117,TA-QTCID,1.0,200,14200.0,0.9933774834437086,1821.294795697555,14.0,14,0,0,14,0,0,0,0,2114
76,118,TA-QTCID,1.0,200,9800.0,0.9941737288135594,1374.4732686281204,11.0,11,0,0,11,0,0,0,0,1888
77,119,TA-QTCID,1.0,200,10200.0,0.9929185634800203,1439.2460682690144,14.0,14,0,0,14,0,0,0,0,1977
78,120,TA-QTCID,1.0,200,10000.0,0.9921186833565137,1460.0983989927918,17.0,17,0,0,17,0,0,0,0,2157
79,121,TA-QTCID,1.0,200,8400.0,0.9927121290994274,1283.1701317057014,15.0,14,0,1,14,0,1,1,1,1920
0,42,Q-TCID,1.0,350,14000.0,0.9852140077821012,1001.5647468753159,21.0,16,3,2,16,3,2,2,0,0
1,43,Q-TCID,1.0,350,11200.0,0.9824884792626728,896.9469813108444,21.0,19,0,2,19,0,2,2,0,0
2,44,Q-TCID,1.0,350,12600.0,0.972193614830072,789.1242085639387,28.0,26,1,1,26,1,1,1,0,0
3,45,Q-TCID,1.0,350,13650.0,0.977859778597786,896.6897893752903,26.0,23,1,2,23,1,2,2,0,0
4,46,Q-TCID,1.0,350,9450.0,0.9798076923076923,771.4175330400467,22.0,21,0,1,21,0,1,1,0,0
5,47,Q-TCID,1.0,350,12950.0,0.9800693240901213,932.4196843523532,25.0,22,1,2,22,1,2,2,0,0
6,48,Q-TCID,1.0,350,11200.0,0.9867498051441933,826.3181191664189,17.0,16,1,0,16,1,0,0,0,0
7,49,Q-TCID,1.0,350,12250.0,0.98014440433213,852.215368622914,22.0,20,2,0,20,2,0,0,0,0
8,50,Q-TCID,1.0,350,16100.0,0.9833887043189369,1054.1703895889223,20.0,19,1,0,19,1,0,0,0,0
9,51,Q-TCID,1.0,350,11200.0,0.980849292256453,883.7312726546079,24.0,23,0,1,23,0,1,1,0,0
10,52,Q-TCID,1.0,350,15050.0,0.9822222222222222,1003.464010393247,23.0,19,1,3,19,1,3,3,0,0
11,53,Q-TCID,1.0,350,15050.0,0.9901547116736991,1100.1088259685785,15.0,13,1,1,13,1,1,1,0,0
12,54,Q-TCID,1.0,350,13650.0,0.986863711001642,1027.3828603513539,19.0,14,2,3,14,2,3,3,0,0
13,55,Q-TCID,1.0,350,13650.0,0.9857997010463379,964.5488922279328,19.0,19,0,0,19,0,0,0,0,0
14,56,Q-TCID,1.0,350,11550.0,0.9839797639123102,887.4704477097839,21.0,17,2,2,17,2,2,2,0,0
15,57,Q-TCID,1.0,350,11200.0,0.9840566873339238,948.7810482177883,23.0,17,1,5,17,1,5,5,0,0
16,58,Q-TCID,1.0,350,13650.0,0.9827160493827161,859.4760947842151,23.0,19,2,2,19,2,2,2,0,0
17,59,Q-TCID,1.0,350,12950.0,0.9822723609991942,937.0689231734723,24.0,21,1,2,21,1,2,2,0,0
18,60,Q-TCID,1.0,350,11200.0,0.983843537414966,996.3219881951809,24.0,14,5,5,14,5,5,5,0,0
19,61,Q-TCID,1.0,350,10500.0,0.9701338825952626,854.9653439223766,34.0,25,4,5,25,4,5,5,0,0
20,62,Q-TCID,1.0,350,12250.0,0.9748878923766816,912.2597934491932,31.0,26,2,3,26,2,3,3,0,0
21,63,Q-TCID,1.0,350,13300.0,0.9851851851851852,950.6407437436283,18.0,18,0,0,18,0,0,0,0,0
22,64,Q-TCID,1.0,350,11550.0,0.977205153617443,814.0916102547199,26.0,22,1,3,22,1,3,3,0,0
23,65,Q-TCID,1.0,350,10500.0,0.9780439121756487,794.5648071896285,25.0,19,3,3,19,3,3,3,0,0
24,66,Q-TCID,1.0,350,10850.0,0.9808219178082191,810.8866030648351,23.0,18,3,2,18,3,2,2,0,0
25,67,Q-TCID,1.0,350,14350.0,0.9848484848484849,907.4918506462127,19.0,18,1,0,18,1,0,0,0,0
26,68,Q-TCID,1.0,350,10850.0,0.9695780176643768,669.787150727585,31.0,29,2,0,29,2,0,0,0,0
27,69,Q-TCID,1.0,350,13300.0,0.9789303079416531,927.6715255472809,27.0,22,4,1,22,4,1,1,0,0
28,70,Q-TCID,1.0,350,9800.0,0.9719626168224299,774.4049162790179,31.0,27,0,4,27,0,4,4,0,0
29,71,Q-TCID,1.0,350,9800.0,0.988135593220339,865.6684852223843,18.0,13,1,4,13,1,4,4,0,0
30,72,Q-TCID,1.0,350,10150.0,0.9778846153846154,715.7058031205088,26.0,22,1,3,22,1,3,3,0,0
31,73,Q-TCID,1.0,350,11200.0,0.9820700896495518,766.3330463226885,23.0,21,1,1,21,1,1,1,0,0
32,74,Q-TCID,1.0,350,14350.0,0.987887963663891,886.7384398952127,18.0,14,2,2,14,2,2,2,0,0
33,75,Q-TCID,1.0,350,7700.0,0.9770687936191426,723.9161610454321,26.0,22,1,3,22,1,3,3,0,0
34,76,Q-TCID,1.0,350,12950.0,0.9848993288590604,916.8694642763585,19.0,17,1,1,17,1,1,1,0,0
35,77,Q-TCID,1.0,350,12600.0,0.9661214953271028,706.3677574843168,30.0,29,0,1,29,0,1,1,0,0
36,78,Q-TCID,1.0,350,10150.0,0.9867439933719967,925.7920460198075,20.0,14,2,4,14,2,4,4,0,0
37,79,Q-TCID,1.0,350,12250.0,0.9797809604043808,958.6334777269512,26.0,23,1,2,23,1,2,2,0,0
38,80,Q-TCID,1.0,350,15400.0,0.9879245283018868,1004.255370195955,17.0,15,1,1,15,1,1,1,0,0
39,81,Q-TCID,1.0,350,11900.0,0.9859154929577465,951.1155596263707,22.0,16,1,5,16,1,5,5,0,0
40,82,Q-TCID,1.0,350,8050.0,0.982840800762631,702.8264223709702,19.0,17,1,1,17,1,1,1,0,0
41,83,Q-TCID,1.0,350,16100.0,0.9901812688821753,1110.3569353856146,14.0,13,0,1,13,0,1,1,0,0
42,84,Q-TCID,1.0,350,16100.0,0.9700854700854701,772.5254367664456,28.0,26,2,0,26,2,0,0,0,0
43,85,Q-TCID,1.0,350,11900.0,0.9832915622389307,946.0112889092416,27.0,20,0,7,20,0,7,7,0,0
44,86,Q-TCID,1.0,350,8050.0,0.9821905609973286,873.7997071556747,27.0,20,0,7,20,0,7,7,0,0
45,87,Q-TCID,1.0,350,8750.0,0.9776386404293381,857.3196393288672,30.0,24,1,5,24,1,5,5,0,0
46,88,Q-TCID,1.0,350,11200.0,0.9844389844389845,921.7956790328026,22.0,15,4,3,15,4,3,3,0,0
47,89,Q-TCID,1.0,350,11900.0,0.9816955684007708,889.9236630853266,24.0,17,2,5,17,2,5,5,0,0
48,90,Q-TCID,1.0,350,13650.0,0.981149012567325,975.3113855049014,23.0,19,2,2,19,2,2,2,0,0
49,91,Q-TCID,1.0,350,11200.0,0.9828150572831423,879.0028978493065,23.0,21,0,2,21,0,2,2,0,0
50,92,Q-TCID,1.0,350,11200.0,0.9822184589331076,800.0845417976379,21.0,20,1,0,20,1,0,0,0,0
51,93,Q-TCID,1.0,350,10150.0,0.97678916827853,845.844922222197,28.0,21,3,4,21,3,4,4,0,0
52,94,Q-TCID,1.0,350,16100.0,0.9803921568627451,972.7592501547188,25.0,21,2,2,21,2,2,2,0,0
53,95,Q-TCID,1.0,350,13650.0,0.9792452830188679,819.6113448608667,24.0,21,1,2,21,1,2,2,0,0
54,96,Q-TCID,1.0,350,12600.0,0.9873684210526316,941.3422660976648,19.0,17,1,1,17,1,1,1,0,0
55,97,Q-TCID,1.0,350,14000.0,0.988599348534202,979.3077524974942,15.0,14,0,1,14,0,1,1,0,0
56,98,Q-TCID,1.0,350,15050.0,0.9787234042553191,864.9562614001334,25.0,23,1,1,23,1,1,1,0,0
